Alias,Category,MovieNominee,Movie,Nominee,Seen,Critic,color
NH,Costume Design,Killers of the Flower Moon - Jacqueline West,Killers of the Flower Moon,Jacqueline West,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Poor Things, The Boy and the Heron, To Kill a Tiger",False,#833014ff
NH,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Poor Things, The Boy and the Heron, To Kill a Tiger",False,#3e3222ff
NH,International Feature Film,Perfect Days - Japan,Perfect Days,Japan,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Poor Things, The Boy and the Heron, To Kill a Tiger",False,#a3cba2ff
Zeb,Music (Original Score),Oppenheimer - Ludwig Göransson,Oppenheimer,Ludwig Göransson,"American Fiction, American Symphony, Barbie, Killers of the Flower Moon, Maestro, Oppenheimer, Poor Things, The Holdovers",False,#3e3222ff
Zeb,Costume Design,Poor Things - Holly Waddington,Poor Things,Holly Waddington,"American Fiction, American Symphony, Barbie, Killers of the Flower Moon, Maestro, Oppenheimer, Poor Things, The Holdovers",False,#83b2cbff
Zeb,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,"American Fiction, American Symphony, Barbie, Killers of the Flower Moon, Maestro, Oppenheimer, Poor Things, The Holdovers",False,#3e3222ff
Zeb,International Feature Film,Perfect Days - Japan,Perfect Days,Japan,"American Fiction, American Symphony, Barbie, Killers of the Flower Moon, Maestro, Oppenheimer, Poor Things, The Holdovers",False,#a3cba2ff
Megatron,Music (Original Score),Indiana Jones and the Dial of Destiny - John Williams,Indiana Jones and the Dial of Destiny,John Williams,"Barbie, Godzilla Minus One, Oppenheimer, Spider-Man: Across the Spider-verse",False,#f1940bff
Megatron,Costume Design,Barbie - Jacqueline Durran,Barbie,Jacqueline Durran,"Barbie, Godzilla Minus One, Oppenheimer, Spider-Man: Across the Spider-verse",False,#EF4397
Megatron,Film Editing,Poor Things - Yorgos Mavropsaridis,Poor Things,Yorgos Mavropsaridis,"Barbie, Godzilla Minus One, Oppenheimer, Spider-Man: Across the Spider-verse",False,#83b2cbff
Megatron,International Feature Film,Society of the Snow - Spain,Society of the Snow,Spain,"Barbie, Godzilla Minus One, Oppenheimer, Spider-Man: Across the Spider-verse",False,#c8d9cfff
DashboardAliasFinal[FINAL].xlsx,Music (Original Score),American Fiction - Laura Karpman,American Fiction,Laura Karpman,"Barbie, Killers of the Flower Moon",False,#607292ff
DashboardAliasFinal[FINAL].xlsx,Costume Design,Killers of the Flower Moon - Jacqueline West,Killers of the Flower Moon,Jacqueline West,"Barbie, Killers of the Flower Moon",False,#833014ff
DashboardAliasFinal[FINAL].xlsx,Film Editing,Poor Things - Yorgos Mavropsaridis,Poor Things,Yorgos Mavropsaridis,"Barbie, Killers of the Flower Moon",False,#83b2cbff
DashboardAliasFinal[FINAL].xlsx,International Feature Film,Perfect Days - Japan,Perfect Days,Japan,"Barbie, Killers of the Flower Moon",False,#a3cba2ff
HKB,Music (Original Score),NA,NA,NA,"Barbie, Nimona",False,black
HKB,Costume Design,Barbie - Jacqueline Durran,Barbie,Jacqueline Durran,"Barbie, Nimona",False,#EF4397
HKB,Film Editing,NA,NA,NA,"Barbie, Nimona",False,black
HKB,International Feature Film,NA,NA,NA,"Barbie, Nimona",False,black
Kira,Music (Original Score),Killers of the Flower Moon - Robbie Robertson,Killers of the Flower Moon,Robbie Robertson,"Anatomy of a Fall, Barbie, Killers of the Flower Moon, May December, Nyad, Oppenheimer, Past Lives, Poor Things, Society of the Snow, The Zone of Interest",False,#833014ff
Kira,Costume Design,Poor Things - Holly Waddington,Poor Things,Holly Waddington,"Anatomy of a Fall, Barbie, Killers of the Flower Moon, May December, Nyad, Oppenheimer, Past Lives, Poor Things, Society of the Snow, The Zone of Interest",False,#83b2cbff
Kira,Film Editing,Poor Things - Yorgos Mavropsaridis,Poor Things,Yorgos Mavropsaridis,"Anatomy of a Fall, Barbie, Killers of the Flower Moon, May December, Nyad, Oppenheimer, Past Lives, Poor Things, Society of the Snow, The Zone of Interest",False,#83b2cbff
Kira,International Feature Film,Society of the Snow - Spain,Society of the Snow,Spain,"Anatomy of a Fall, Barbie, Killers of the Flower Moon, May December, Nyad, Oppenheimer, Past Lives, Poor Things, Society of the Snow, The Zone of Interest",False,#c8d9cfff
Lil,Music (Original Score),Poor Things - Jerskin Fendrix,Poor Things,Jerskin Fendrix,"American Fiction, Anatomy of a Fall, Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Mission Impossible - Dead Reckoning Part One, Oppenheimer, Poor Things, Spider-Man: Across the Spider-verse, The ABC's of Book Banning, The Boy and the Heron, The Color Purple, The Holdovers",False,#83b2cbff
Lil,Costume Design,Poor Things - Holly Waddington,Poor Things,Holly Waddington,"American Fiction, Anatomy of a Fall, Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Mission Impossible - Dead Reckoning Part One, Oppenheimer, Poor Things, Spider-Man: Across the Spider-verse, The ABC's of Book Banning, The Boy and the Heron, The Color Purple, The Holdovers",False,#83b2cbff
Lil,Film Editing,Anatomy of a Fall - Laurent Sénéchal,Anatomy of a Fall,Laurent Sénéchal,"American Fiction, Anatomy of a Fall, Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Mission Impossible - Dead Reckoning Part One, Oppenheimer, Poor Things, Spider-Man: Across the Spider-verse, The ABC's of Book Banning, The Boy and the Heron, The Color Purple, The Holdovers",False,#384377ff
Lil,International Feature Film,Society of the Snow - Spain,Society of the Snow,Spain,"American Fiction, Anatomy of a Fall, Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Mission Impossible - Dead Reckoning Part One, Oppenheimer, Poor Things, Spider-Man: Across the Spider-verse, The ABC's of Book Banning, The Boy and the Heron, The Color Purple, The Holdovers",False,#c8d9cfff
Addison W.,Music (Original Score),Oppenheimer - Ludwig Göransson,Oppenheimer,Ludwig Göransson,"American Fiction, Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Killers of the Flower Moon, Mission Impossible - Dead Reckoning Part One, Napoleon, Oppenheimer, The Creator, The Holdovers",False,#3e3222ff
Addison W.,Costume Design,Killers of the Flower Moon - Jacqueline West,Killers of the Flower Moon,Jacqueline West,"American Fiction, Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Killers of the Flower Moon, Mission Impossible - Dead Reckoning Part One, Napoleon, Oppenheimer, The Creator, The Holdovers",False,#833014ff
Addison W.,Film Editing,Poor Things - Yorgos Mavropsaridis,Poor Things,Yorgos Mavropsaridis,"American Fiction, Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Killers of the Flower Moon, Mission Impossible - Dead Reckoning Part One, Napoleon, Oppenheimer, The Creator, The Holdovers",False,#83b2cbff
Addison W.,International Feature Film,The Zone of Interest - United Kingdom,The Zone of Interest,United Kingdom,"American Fiction, Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Killers of the Flower Moon, Mission Impossible - Dead Reckoning Part One, Napoleon, Oppenheimer, The Creator, The Holdovers",False,black
Amazing Amy,Music (Original Score),Poor Things - Jerskin Fendrix,Poor Things,Jerskin Fendrix,"Barbie, Elemental, The Holdovers",False,#83b2cbff
Amazing Amy,Costume Design,Poor Things - Holly Waddington,Poor Things,Holly Waddington,"Barbie, Elemental, The Holdovers",False,#83b2cbff
Amazing Amy,Film Editing,Oppenheimer - Jennifer Lame,Oppenheimer,Jennifer Lame,"Barbie, Elemental, The Holdovers",False,#3e3222ff
Amazing Amy,International Feature Film,Io Capitano - Italy,Io Capitano,Italy,"Barbie, Elemental, The Holdovers",False,#ce8e68ff
The Wrap,Music (Original Score),Oppenheimer - Ludwig Göransson,Oppenheimer,Ludwig Göransson,NA - Critics' Pick,True,#3e3222ff
The Wrap,Costume Design,Barbie - Jacqueline Durran,Barbie,Jacqueline Durran,NA - Critics' Pick,True,#EF4397
The Wrap,Film Editing,Poor Things - Yorgos Mavropsaridis,Poor Things,Yorgos Mavropsaridis,NA - Critics' Pick,True,#83b2cbff
The Wrap,International Feature Film,The Zone of Interest - United Kingdom,The Zone of Interest,United Kingdom,NA - Critics' Pick,True,black
Entertainment Weekly,Sound,Oppenheimer,Oppenheimer,NA,NA - Critics' Pick,True,#3e3222ff
Entertainment Weekly,Music (Original Song),What Was I Made For? - Barbie,Barbie,What Was I Made For?,NA - Critics' Pick,True,#EF4397
Entertainment Weekly,Writing (Adapted Screenplay),Barbie,Barbie,NA,NA - Critics' Pick,True,#EF4397
Entertainment Weekly,Writing (Original Screenplay),Anatomy of a Fall,Anatomy of a Fall,NA,NA - Critics' Pick,True,#384377ff
Entertainment Weekly,Makeup and Hairstyling,Maestro,Maestro,NA,NA - Critics' Pick,True,#ffee02
Entertainment Weekly,Production Design,Poor Things,Poor Things,NA,NA - Critics' Pick,True,#83b2cbff
